run,target,threshold,tp,fp,recall,precision,alert_rate
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.03761676e-09,50779,8903309,1.000000,0.005671,0.809776696
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.15675682e-09,50779,8867548,1.000000,0.005694,0.806542595
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.27824787e-09,50779,8833326,1.000000,0.005716,0.803447676
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.4021363e-09,50779,8796133,1.000000,0.005740,0.800084070
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.52846942e-09,50779,8763150,1.000000,0.005761,0.797101202
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.65729546e-09,50779,8728048,1.000000,0.005784,0.793926698
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.78866362e-09,50779,8681979,1.000000,0.005815,0.789760378
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.92262406e-09,50779,8644724,1.000000,0.005840,0.786391164
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.05922794e-09,50779,8608289,1.000000,0.005864,0.783096109
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.19852742e-09,50779,8567601,1.000000,0.005892,0.779416428
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.34057568e-09,50779,8532031,1.000000,0.005916,0.776199600
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.48542699e-09,50779,8491215,1.000000,0.005945,0.772508342
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.63313664e-09,50779,8445929,1.000000,0.005976,0.768412833
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.78376103e-09,50779,8407825,1.000000,0.006003,0.764966840
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.93735769e-09,50779,8356883,1.000000,0.006040,0.760359822
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.09398527e-09,50779,8313927,1.000000,0.006071,0.756475030
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.25370358e-09,50779,8268411,1.000000,0.006104,0.752358720
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.4165736e-09,50779,8229708,1.000000,0.006132,0.748858555
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.58265753e-09,50779,8187157,1.000000,0.006164,0.745010390
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.75201878e-09,50779,8143400,1.000000,0.006197,0.741053159
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.92472204e-09,50779,8087040,1.000000,0.006240,0.735956156
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.10083324e-09,50779,8039323,1.000000,0.006277,0.731640795
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.28041964e-09,50779,7992337,1.000000,0.006313,0.727391544
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.46354981e-09,50779,7939631,1.000000,0.006355,0.722624996
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.65029368e-09,50779,7890211,1.000000,0.006395,0.718155623
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.84072256e-09,50779,7824190,1.000000,0.006448,0.712184912
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.00349092e-08,50779,7776925,1.000000,0.006487,0.707910429
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.02329276e-08,50779,7731645,1.000000,0.006525,0.703815463
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.04348536e-08,50779,7666756,1.000000,0.006580,0.697947127
