run,target,threshold,tp,fp,recall,precision,alert_rate
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.19644177e-08,50782,22833604,1.000000,0.002219,0.985269259
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.22005111e-08,50782,22815721,1.000000,0.002221,0.984499320
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.24412633e-08,50782,22790166,1.000000,0.002223,0.983399070
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.26867663e-08,50782,22769328,1.000000,0.002225,0.982501906
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.29371138e-08,50782,22734883,1.000000,0.002229,0.981018904
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.31924013e-08,50782,22702351,1.000000,0.002232,0.979618264
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.34527265e-08,50782,22656189,1.000000,0.002236,0.977630795
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.37181886e-08,50782,22599470,1.000000,0.002242,0.975188803
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.39888891e-08,50782,22547346,1.000000,0.002247,0.972944646
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.42649313e-08,50782,22476285,1.000000,0.002254,0.969885170
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.45464207e-08,50782,22398654,1.000000,0.002262,0.966542828
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.48334647e-08,50782,22291714,1.000000,0.002273,0.961938611
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.51261729e-08,50782,22209038,1.000000,0.002281,0.958379060
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.5424657e-08,50782,22124581,1.000000,0.002290,0.954742831
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.57290312e-08,50782,22044958,1.000000,0.002298,0.951314725
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.60394116e-08,50782,21954822,1.000000,0.002308,0.947433990
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.63559167e-08,50782,21852099,1.000000,0.002319,0.943011332
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.66786674e-08,50782,21752679,1.000000,0.002329,0.938730882
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.70077869e-08,50782,21655162,1.000000,0.002340,0.934532364
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.73434009e-08,50782,21565911,1.000000,0.002349,0.930689733
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.76856376e-08,50782,21489462,1.000000,0.002358,0.927398281
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.80346276e-08,50782,21414168,1.000000,0.002366,0.924156557
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.83905042e-08,50782,21342267,1.000000,0.002374,0.921060916
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.87534033e-08,50782,21267945,1.000000,0.002382,0.917861041
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.91234635e-08,50782,21182379,1.000000,0.002392,0.914177064
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.95008261e-08,50782,21097356,1.000000,0.002401,0.910516465
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.98856352e-08,50782,21021229,1.000000,0.002410,0.907238877
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.02780376e-08,50782,20933433,1.000000,0.002420,0.903458889
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.06781834e-08,50782,20855626,1.000000,0.002429,0.900108970
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.10862252e-08,50782,20779092,1.000000,0.002438,0.896813859
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.15023189e-08,50782,20688243,1.000000,0.002449,0.892902427
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.19266233e-08,50782,20604255,1.000000,0.002459,0.889286389
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.23593005e-08,50782,20504258,1.000000,0.002471,0.884981097
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.28005158e-08,50782,20382866,1.000000,0.002485,0.879754660
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.32504375e-08,50782,20263261,1.000000,0.002500,0.874605161
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.37092375e-08,50782,20138020,1.000000,0.002515,0.869213008
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.41770909e-08,50782,20027402,1.000000,0.002529,0.864450437
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.46541766e-08,50782,19938821,1.000000,0.002540,0.860636651
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.51406765e-08,50782,19853464,1.000000,0.002551,0.856961673
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.56367765e-08,50782,19762757,1.000000,0.002563,0.853056354
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.6142666e-08,50782,19672022,1.000000,0.002575,0.849149830
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.66585383e-08,50782,19582201,1.000000,0.002587,0.845282657
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.71845902e-08,50782,19497049,1.000000,0.002598,0.841616505
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.77210226e-08,50782,19417227,1.000000,0.002608,0.838179831
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.82680405e-08,50782,19349910,1.000000,0.002618,0.835281551
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.88258527e-08,50782,19287341,1.000000,0.002626,0.832587692
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.93946721e-08,50782,19221968,1.000000,0.002635,0.829773109
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.99747161e-08,50782,19147105,1.000000,0.002645,0.826549941
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.0566206e-08,50782,19075369,1.000000,0.002655,0.823461404
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.11693678e-08,50782,19006093,1.000000,0.002665,0.820478780
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.17844317e-08,50782,18936949,1.000000,0.002674,0.817501839
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.24116327e-08,50782,18870969,1.000000,0.002684,0.814661122
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.30512102e-08,50782,18805557,1.000000,0.002693,0.811844860
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.37034085e-08,50782,18744059,1.000000,0.002702,0.809197112
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.43684765e-08,50782,18681425,1.000000,0.002711,0.806500454
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.50466684e-08,50782,18619713,1.000000,0.002720,0.803843493
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.57382429e-08,50782,18563710,1.000000,0.002728,0.801432328
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.64434643e-08,50782,18501892,1.000000,0.002737,0.798770802
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.71626018e-08,50782,18433139,1.000000,0.002747,0.795810696
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.789593e-08,50782,18375216,1.000000,0.002756,0.793316867
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.86437289e-08,50782,18325260,1.000000,0.002763,0.791166050
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.94062841e-08,50782,18272479,1.000000,0.002771,0.788893606
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.01838868e-08,50782,18224988,1.000000,0.002779,0.786848918
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.09768339e-08,50782,18175609,1.000000,0.002786,0.784722944
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.17854282e-08,50782,18128612,1.000000,0.002793,0.782699525
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.26099784e-08,50782,18070098,1.000000,0.002802,0.780180251
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.34507995e-08,50782,18020057,1.000000,0.002810,0.778025775
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.43082125e-08,50782,17969512,1.000000,0.002818,0.775849600
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.51825447e-08,50782,17919189,1.000000,0.002826,0.773682982
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.60741301e-08,50782,17882509,1.000000,0.002832,0.772103754
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.69833092e-08,50782,17843905,1.000000,0.002838,0.770441689
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.7910429e-08,50782,17804668,1.000000,0.002844,0.768752371
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.88558436e-08,50782,17764071,1.000000,0.002851,0.767004499
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.98199141e-08,50782,17728774,1.000000,0.002856,0.765484814
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.08030085e-08,50782,17689054,1.000000,0.002863,0.763774701
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.18055023e-08,50782,17648906,1.000000,0.002869,0.762046160
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.28277783e-08,50782,17611501,1.000000,0.002875,0.760435717
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.38702268e-08,50782,17572329,1.000000,0.002882,0.758749198
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.49332459e-08,50782,17532202,1.000000,0.002888,0.757021561
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.60172415e-08,50782,17500010,1.000000,0.002893,0.755635560
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.71226276e-08,50782,17463818,1.000000,0.002899,0.754077342
